Date,Time,City,State,Shape,Duration,Description
4/22/2014,5:30:00,Escondido,CA,Formation,10 minutes,"Driving S on I-15 @ 530 am. Saw lights appear on my left. First, 2 then several began appearing and vanishing."
4/10/2014,21:00:00,Escondido,CA,Rectangle,5 minutes,"Photo taken of a bright light in the sky, revealed two illuminated rectangular objects and three disc with lights around the diameter."
6/20/2014,23:45:00,Eureka,CA,Oval,5 minutes,There was four orange balls in the sky started low and then one droped a white light after that a consecutive amount of them started to
4/5/2014,8:50:00,Eureka,CA,Light,12 seconds,Me and my roommate saw a fast moving object. It covered a large distance in a matter of seconds. It disappeared.
1/22/2014,21:35:00,Eureka,CA,Light,1-1.5 minutes,"White light being followed by red blinking light, moving slowly across sky."
3/18/2014,21:30:00,Fair Oaks,CA,Unknown,20 minutes,Flashing lights playing in the sky.
12/21/2015,18:15:00,Fairfield,CA,Circle,5,Orange light. ((NUFORC Note: Possible meteor or space debris? PD))
11/7/2015,18:00:00,Fairfield,CA,Light,10 minutes,Bluish tail mist. ((NUFORC Note: US Navy missile launch. PD))
11/7/2015,17:55:00,Fairfield,CA,Changing,15 minutes,"Comet-like light in the western sky, traveling south to north. ((NUFORC Note: US Navy missile launch. PD))"
9/23/2015,20:45:00,Fairfield,CA,Circle,3 seconds,I was on the west side of my house looking south west at clouds passing the path of the moon when a bunch of little white dots that at
6/26/2015,22:15:00,Fairfield,CA,Circle,20 minutes,Two pulsating lights over the hills of Fairfield
3/21/2015,20:00:00,Fairfield,CA,Light,~20 minutes,"Groups of strange orange lights seen over Fairfield, CA at 20:00 on 3-21-15."
1/31/2015,13:00:00,Fairfield,CA,Fireball,10 seconds,Bright white light streaking low across horizon downward at about 35 degree angle. Looked to be about 15 miles away. Just before it d
12/25/2014,21:01:00,Fairfield,CA,Other,180 seconds,"Sighted a bright orange pyramid-shaped object descending through the atmosphere, leveling off, and flying in a Southeasterly direction."
11/14/2014,19:45:00,Fairfield,CA,Other,45 minutes,Curtain-shaped object shimmering/pulsating for 45 minutes. Southern sky. Seen by two people.
9/17/2014,3:00:00,Fairfield,CA,Other,1 hour,I noticed brighter yellow flashing lights so i grab binoculars and it resembled a police copter with red white and blue colors.
6/14/2014,21:50:00,Fairfield,CA,Formation,3 minutes,"CIRCLE OF 8 RED LIGHTS APPEARED IN WESTERN SKY TONIGHT, AND THEN FADED AWAY, WITH NO NOISE.."
2/2/2014,22:00:00,Fairfield,CA,Other,2 minutes,"3 rounds lights in a triangular shape color like a flaming yellow, no sound."
10/13/2015,21:00:00,Fall River Mills,CA,Flash,10 minutes,Caught a glimpse of an unexplained flash of light in the sky on a clear night.
11/7/2015,18:30:00,Fallbrook,CA,Other,15 minutes,Glowing green cloud-like orb hanging in night sky. ((NUFORC Note: U. S. Navy missile launch. PD))
8/30/2014,21:20:00,Fallbrook,CA,Fireball,4 seconds,Vibrant orange fireball or light that exploded in dark sky
7/5/2014,23:25:00,Fallbrook,CA,Light,5 minutes,Cluster of bright lights moving erratically in San DIego County.
4/22/2014,23:17:00,Fallbrook,CA,Fireball,15 seconds,"4 fireballs in the sky, hovering."
2/18/2014,23:20:00,Fallbrook,CA,Circle,4 minutes,Orange orb with some intelligence.
6/22/2014,20:30:00,Fillmore,CA,Fireball,5-7 minutes,"Reddish-purple fireball seen above Fillmore, Ca. on a Sunday night."
4/8/2014,20:00:00,Fillmore,CA,Oval,15 minutes,Red/Orange pulsating spheres flying circular patterns for 5mins continuous.
11/7/2015,18:00:00,Filmore,CA,Circle,20 minutes,Bright light crossing west to east then turning blue and ascending up. ((NUFORC Note: U. S. Navy missile launch. PD))
7/13/2015,21:54:00,Firebaugh,CA,Light,2 seconds,"White light flashes at Mercey Hot Springs, yet again!"
2/13/2014,19:25:00,Firebaugh,CA,Light,1 minute,White Flashing Object Over Mercey Hot Springs For The Fourth Time!!
2/25/2014,3:30:00,Firebaugh ,CA,Formation,~2 minutes,Formation or cluster of five lights catapulting and zooming dramatically near the I-5 freeway at night.
4/2/2016,22:30:00,Folsom,CA,Light,5-10 seconds,Craft visible by 2 very bright lights and high speed 45 degree angle to earth disappears
11/7/2015,18:15:00,Folsom,CA,Light,5 minutes,"Saw a light followed by fire. then changed from fire to light, then a blurry line. ((NUFORC Note: U. S. Navy missile launch. PD))"
1/28/2015,19:55:00,Folsom,CA,Unknown,still there,"There is a very vibrant, multi-colored light. Changes between red, blue, white, etc.. ((NUFORC Note: Possible ""twinkling"" star? PD))"
1/7/2015,1:00:00,Folsom,CA,Circle,until sunrise,I've been watching crafts with multi-color lights pose in the sky as stars through my telescope since November of 08 every night.
11/14/2014,22:20:00,Folsom,CA,Other,15 seconds,Object spotted overhead moving quickly from east to west with three linear non-flashing lights.
8/28/2014,22:30:00,Folsom,CA,Triangle,2 seconds,A bright orange boomerang shaped object disappeared into the sky leaving a distinct blue tail.
3/21/2014,21:30:00,Folsom,CA,Light,1 minutes,"Orange light over Folsom, CA."
9/28/2015,0:00:00,Fontana,CA,Circle,20 minutes,"An odd ""bubble like"" unidentified, but seen by the naked eye; appeared close to moon during Super Moon Eclipse."
9/26/2015,19:00:00,Fontana,CA,Circle,5 min,"Saw several lights over mtns. Orange-red in color, like nothing I've ever seen. Each disappeared at once. Also, have film, pictures."
2/23/2015,3:30:00,Fontana,CA,,1 hour?,No craft just a long white smoke (thin white cloud) trail. ((NUFORC Note: Possible contrail? PD))
8/28/2014,22:00:00,Fontana,CA,Cigar,30 sconds,Bright red and blue light in the sky shooting around at unbelievable speed.
8/6/2014,1:32:00,Fontana,CA,Oval,towards heading back home,Oval bright with red lights vanish.
6/12/2014,6:20:00,Fontana,CA,Diamond,1 minute,Diamond Shaped Objects in Broad Daylight
3/15/2014,7:45:00,Fontana,CA,Fireball,10 seconds,"I believe that I witnessed a ufo, star, or planet disintegrating."
2/18/2016,19:00:00,Foresthill,CA,Cone,13 minutes,"Obj. was flashing different color lights, blue red and chrome like. Was hovering above the mountain top. ((NUFORC Note: Sirius? PD))"
4/11/2015,20:45:00,Fort Bragg,CA,Unknown,15 minutes,"Two craft with white and red lights sighted over Fort Bragg, CA"
1/3/2015,22:20:00,Fort Bragg,CA,Fireball,10 minutes,"4 glowing orange lights spotted in northern sky above Fort Bragg, California."
1/3/2015,22:05:00,Fort Bragg,CA,Light,5 minutes,"5 lights hovering over Fort Bragg, CA."
10/19/2014,19:00:00,fort bragg,CA,Light,8 minutes,Orange lights looked like they came up from Hare Creek Beach about 1/4 mile away. The lights followed each other in a line up into the
2/10/2015,18:00:00,Fortuna,CA,Circle,20 minutes,Fortuna lights.
11/7/2015,18:00:00,Fountain Valley,CA,Circle,20 minutes,White light in the W/SW sky traveling north that shortly after created a bright white fan ((NUFORC Note: US Navy missile launch. PD))
11/7/2015,18:00:00,Frazier Park,CA,Changing,10 minutes,"Orange ball in the sky got very bright, then it shined its lights at the ground. ((NUFORC Note: US Navy missile launch. PD))"
11/7/2015,18:05:00,Fremont,CA,Changing,7 minutes,Bright light projecting beams beneath and leaving cloud trails behind. ((NUFORC Note: U. S. Navy missile launch. PD))
11/6/2015,18:00:00,Fremont,CA,Cigar,20 minutes,Spotted bright light flying through sky. Thought it was a plane but was leaving a bright turquoise haze behind it that lit up the sky.
8/12/2015,22:30:00,Fremont,CA,Light,3 minutes,Star-like object moving strangely in the sky.
1/29/2015,7:45:00,Fremont,CA,Light,2 minutes,Three very bright lights in the morning sky.
10/9/2014,4:21:00,Fremont,CA,Sphere,1 minute,Two reddish orbs that moved silently and quickly through the sky.
5/26/2014,16:00:00,Fremont,CA,Sphere,~1 minute,"Silver orb spotted near Fremont, CA."
6/18/2014,23:00:00,Fremont CA,CA,Light,30-45 seconds,Something flying near the stars.
3/1/2016,16:34:00,Fresno,CA,Light,2 minutes,White lights in Fresno sky.
11/23/2015,17:40:00,Fresno,CA,Other,2:00 minutes,Square white lights stopped..went up..then down over the horizon.
11/7/2015,19:40:00,Fresno,CA,Disk,3 minutes,object spraying a substance and had blue light. ((NUFORC Note: U. S. Navy missile launch. PD))
11/7/2015,18:00:00,Fresno,CA,Light,5 minutes,"1st it was coming from the south heading NW, there was 1 white light and 1 yellow light. ((NUFORC Note: US Navy missile launch. PD))"
10/8/2015,10:05:00,Fresno,CA,Teardrop,20 seconds,"Mass sighting of 30-40 black objects over Fresno, CA."
10/8/2015,10:05:00,Fresno,CA,Teardrop,20 seconds,20 to 30 black objects hovering in sky.
5/10/2015,20:00:00,Fresno,CA,Light,5-7 minutes,"Luminous objects over Fresno, CA."
2/8/2015,22:00:00,Fresno,CA,Triangle,2-3 minutes,Three bright lights forming a triangle staying stationary in sky then quickly flying off and disappearing.
1/27/2015,16:15:00,Fresno,CA,Light,3-5 minutes,Numerous unknown objects flying in a cluster high over California.
12/22/2014,21:45:00,Fresno,CA,Fireball,4-5 minutes,I saw three orange redish glowing globes in the sky!
10/25/2014,23:00:00,Fresno,CA,Formation,2 hours,"Formation of colored lights hovering for 2 hours with swirling greenish orb lights/ FRESNO, CALIFORNIA"
10/10/2014,6:20:00,Fresno,CA,Teardrop,10 seconds,I was driving on the Highway 99 and it fell from the sky like a teardrop orangestraight line and attached a long fatter line of red col
10/5/2014,2:30:00,Fresno,CA,Circle,5 minutes,"Blue ball falling from high alt. At 30 ft off the ground, it turned to a red ball and flew off to the E. Definitely not a plane."
10/5/2014,0:30:00,Fresno,CA,Oval,10 minutes,bright red and blue oval shape.
8/8/2014,23:28:00,Fresno,CA,Triangle,2:00 minutes,"Me and cousin saw triangle shaped objects with three lights at each tip gliding through the sky at a quick speed, the craft was silent"
5/30/2014,19:00:00,Fresno,CA,Disk,All night,When reported the tower control men said he saw it.
5/21/2014,21:35:00,Fresno,CA,Light,1 minute,A blue-violet light falling and rising to the southeast skies of Fresno.
4/5/2014,21:45:00,Fresno,CA,Fireball,4-5 minutes,9-14 Scattered Orange Glowing Lights Hovering Across Fresno.
3/28/2014,22:00:00,Fresno,CA,Oval,~15 minutes,"Bright orange oval over Fresno, CA"
3/16/2014,2:20:00,Fresno,CA,Fireball,<4 minutes,"Orange fireball moved across sky, hovered over my house, went high into the sky, then light disappeared as it went to a larger craft."
2/26/2014,20:12:00,Fresno,CA,Light,72 seconds,Blue orb.
2/24/2014,19:00:00,Fresno,CA,Unknown,5 minutes,Large flying object in the dark sky appeared to be dark and had 4 or 5 red flashing lights.
2/22/2014,11:00:00,Fresno,CA,Unknown,10 seconds,"UFO observed had no sound or detail to it, and floated across the sky."
2/21/2014,18:30:00,Fresno,CA,Sphere,10 minutes,Husband and I saw up to 8 spherical orange-ish high floating/flying objects go over our house at 6:30 PM (darkened sky).
2/17/2014,15:40:00,Fresno,CA,Unknown,1-2 minutes,Close to an airport but so loud it sounded like right over the neighborhood .
2/1/2014,15:43:00,Fresno,CA,Other,<1 minute,"Blackish odd shape over north Fresno, CA."
8/5/2015,22:00:00,Fresno ,CA,Chevron,5 minutes,Low flying object nearly misses car on I-5 near Fresno
10/18/2014,3:00:00,Fresno County,CA,Other,5 minutes,"Blue ball falling for about 5 min, 30 ft off inpact turn red and took off to the east"
6/21/2014,5:30:00,Fullerton,CA,Sphere,30 minutes,"3 silver shiny spheres. Forming triangle. Not moving until planes passed by, seemed to disappear. Came back few minutes with movement."
3/23/2014,19:23:00,Fullerton,CA,Rectangle,,RED BLUE LIGHTS OVER IN FULLERTON.
3/20/2014,6:10:00,Fullerton,CA,Unknown,~1 second,Orange colored object traveling from north to south following curvature of earth in less than 1 second.
3/15/2014,19:23:00,Fullerton,CA,Unknown,,I was closing my garage door and i saw very odd craft but i'm not sure what they 2 and i saw a lights first was red then change to blue
6/11/2015,23:50:00,Galt,CA,Light,5 minutes,"2 bright orange balls of light hovering for about 5 or 10 minutes at 11:50pm, in Galt, CA, Thursday night."
5/30/2015,23:00:00,Galt,CA,Fireball,10 minutes,Orange ball shaped lights in sky appearing and reappearing.
2/10/2016,6:00:00,Garden Grove,CA,Changing,~4 hours,Twinkled like a star while it was still dark. Only it didn't stop when the sun came up.
9/27/2015,22:40:00,Garden Grove,CA,Unknown,14 seconds,"a green round object running about the Moon, and then it hid behind the moon. ((NUFORC Note: Lens flare?? PD))"
7/4/2014,22:45:00,Garden Grove,CA,Circle,15 minutes,"Garden Grove, California, July 4, 2014. 8 orange orbs (circles) one at a time across the sky then gone."
3/14/2014,6:00:00,Garden Grove,CA,Diamond,35 minutes,Looks like an a/c with white light brighter and bigger than a star been seeing it for almost a month. ((NUFORC Note: Venus. PD))
3/11/2014,6:30:00,Garden Grove,CA,Diamond,20 minutes,Shape of a top with colors of green white and pinkish orange seen it for almost a month straight. i have video of it.
2/7/2014,20:54:00,Garden Grove,CA,Unknown,~1 minute,"A green object was in the sky, moved at a high velocity, stopped, hovered, and moved in the opposite direction at a high velocity."
2/10/2016,5:15:00,Geyserville,CA,Circle,5 minutes,"Round, glowing on opposite sides, light in the middle. West to east, 5 min."
5/29/2015,16:00:00,Geyserville,CA,Circle,4 hours,White orb hovering in sky.
11/7/2015,18:05:00,Gilroy,CA,Light,5+,Looked like a spot light high up with a blue green light beam in the center. ((NUFORC Note: U. S. Navy missile launch. PD))
7/4/2015,20:30:00,Gilroy,CA,Other,10 minutes,"We were waiting for the city fireworks show that evening. When my friend noticed in the Northeastern sky, three dots that resembled sta"
1/1/2014,17:50:00,Gilroy,CA,Formation,5 minutes,10-12 red dots flying in a bird like formation lower than the airplane above. Each red dot began to disappear slowly one at a time.
5/26/2015,19:20:00,Glendale,CA,Disk,10 minutes,UFO observed hovering from the local mall parking structure.
3/18/2015,0:00:00,Glendale,CA,Changing,Took off in da sky,Glendale California where the shape shipes come for one guy.
11/27/2014,18:10:00,Glendale,CA,Teardrop,5 minutes,"TWO ""RED FLAME WITH YELLOW CENTER"" TEAR-DROP SHAPED CRAFTS -BURBANK, CA."
9/4/2014,17:38:00,Glendale,CA,Cylinder,15-20 minutes,Cluster of 20-30 round silver looking objects flying through sky in the early evening.
5/12/2014,2:00:00,Glendale,CA,Fireball,Few minutes,Possible UFO caught on security camera.
12/28/2015,22:15:00,Glendale ,CA,Triangle,~5 minutes,"Lights dancing. ((NUFORC Note: Possible sightings of ""twinkling"" stars? PD))"
12/25/2014,19:03:00,Glendora,CA,Fireball,8 minutes,"Fireball, yellow center, amber red outer edges. Two witnesses; clear night. UFO stops, hovers. Vanishes into thin air. Double pass."
4/15/2014,0:00:00,Glendora,CA,Cylinder,8 seconds,Small cylinder flying across the sky during the blood moon lunar eclipse.
3/6/2016,20:00:00,Goleta,CA,,5 seconds,Huge fireball low in the southern sky traveling from east to west.
12/22/2015,18:45:00,Goleta,CA,Fireball,90 seconds,Fireball shoots across early evening sky for a minute and half over L.A.. ((NUFORC Note: Re-entering space debris. PD))
8/10/2015,22:15:00,Goleta ,CA,Light,Seconds to minutes,"Bright light: - no visible object - near skyline - travellilng north to south. One observer, night. the light went out and on again."
11/7/2015,17:55:00,Grand Terrace,CA,Cigar,12 minutes,"Flame/afterburner looking discharge out of a white light, then large conical white light with subsequent development of green haze."
2/1/2016,22:00:00,Granite Bay,CA,Other,5 minutes,"Cluster of color changing lights in sky, stationary, then moving slowly, then vanishing."
11/7/2015,18:38:00,Granite Bay,CA,Light,30 seconds,Cone shaped light seen in sky. ((NUFORC Note: U. S. Navy missile launch. PD))
8/9/2015,22:30:00,Grass Valley,CA,Oval,~30 seconds,I was lying in bed after dark. I happened too see something in the sky directly
5/26/2014,15:00:00,Grass Valley,CA,Circle,2 hours,Spotted a stationary white dot in the sky east of us that remained for 2 hours then moved very slowly to the North and faded out.
5/26/2014,12:30:00,Grass Valley,CA,Circle,1 hour,White circular object with indent slowly traveling across sky.
11/19/2014,6:00:00,Grover Beach,CA,Light,10 minutes,"Three orange lights forming a triangle 2 people saw them, moveing east to west calif, central coast."
9/19/2014,19:13:00,Gustine,CA,Circle,,8 circular lights.
9/19/2014,18:50:00,Gustine,CA,Diamond,30 minutes,8 elongated hexagon-shaped objects at high altitude in sky.
7/4/2014,22:16:00,Half Moon Bay,CA,Sphere,0-5 minutes,Bright orange circular orb.
6/23/2015,22:26:00,Hanford,CA,Rectangle,5 seconds,Rectangular ufo flies over residential area near train tracks in Hanford.
5/11/2014,23:00:00,Hawthorne,CA,Light,10 minutes,Ufo from out of this world.
2/14/2016,19:40:00,Hayward,CA,Triangle,10-15 seconds,Semi-transparent triangle shaped low and slow object
9/18/2015,20:00:00,Hayward,CA,Changing,1+ hours,3 seperate sightings in one night
9/5/2015,21:35:00,Hayward,CA,Formation,5-7minutes,Strange eight light formation orange/red spheres horizontal in Northern California
8/5/2015,21:30:00,Hayward,CA,Circle,2 minutes,Strange lights hovering over Highway 880
4/11/2015,23:55:00,Hayward,CA,Disk,6-7 seconds,"Large, Green UFO saucer sighted flying over San Francisco Bay. Size: 100 Yards across! Very clear details."
1/28/2014,1:15:00,Hayward,CA,Oval,1 minute,I was looking out my kitchen window looking at the sky as i washed dishes and i saw a light i thought it was a plain until it got close
7/4/2014,20:00:00,Healdsburg,CA,Unknown,20 minutes,"It was around 8pm. My wife and I were driving north on HWY 101 up to Geyserville, CA from Santa Rosa, CA. After passing Healdsburg, CA."
11/7/2015,17:50:00,Hemet,CA,Fireball,2 minutes,Fireball in the sky.
8/31/2015,16:00:00,Hemet,CA,Light,55 minutes,The light was dim when o first noticed it.As I was standing there I watched it go from bright to Dim. The light continued to do this ma
2/28/2015,7:20:00,Hemet,CA,Flash,30,Huge flashing UFOs.
12/13/2014,19:30:00,Hemet,CA,Other,30 seconds,redish glowing object with visible bow shock streaking through night sky
2/8/2016,17:00:00,Hermosa Beach,CA,Light,1:30,"Strange Light Over Palos Verdes, CA, from Hermosa Beach Pier 6pm [Sunset]"
3/14/2016,22:50:00,Hesperia,CA,Light,5-7 minutes,Very bright pulsating light that moved in erratic trajectory and seemed to teleport through the sky.
9/29/2015,22:55:00,Hesperia,CA,Fireball,,"Fireball like aircraft hovered above tree tops, then slowly went backwards and disappeared. Once it disappeared 4 other lights blinked"
8/18/2015,21:00:00,Hesperia,CA,Oval,15 minutes,Looking out into the east sky I saw what appeared to be an extremely large object. It resembled a sun if you could see a sun at night.
5/10/2015,21:23:00,Hesperia,CA,Cigar,1 minute,Blue purple light cigar shaped ufo over Hesperia Road California
11/21/2014,22:00:00,Hidden Valley,CA,Fireball,10 seconds,Strange large fireball... not moving and then disappearing.
7/24/2015,22:15:00,Highland,CA,Triangle,5 minutes,Glowing object dropping embers over San Bernardino
1/5/2015,20:00:00,Highland,CA,Fireball,5 minutes,A large glowing burning object which floated slowly at first in the upper atmosphere then glided to earth still on fire.
2/2/2014,19:35:00,Highland,CA,Light,5 minutes,SEVERAL ORANGE GLOWING LIGHTS-LIGHTS WOULD GET DIMMER AT TIMES-SOULNDLESS-OVER OLD AFB.
3/28/2015,15:00:00,Highland Park,CA,Circle,1 minute,Four circle objects flying Four by Four formation spotted Around The North East California.
11/23/2014,10:00:00,Hinkley,CA,,unknown,While searching google maps I came upon this image. I have looked at it several times and I do not understand it. I lived in Hinkley.
12/25/2014,17:20:00,Hollister,CA,Cigar,5 minutes,"Long black, long tendrils at one end and a changing shape like the tail of an aircraft at the other. No sound."
10/25/2014,6:47:00,Hollister,CA,Sphere,1.5 hours,Translucent greenish perfect sphere highlited by sunrise. Even shined through cloud cover. At one point a red transparent circle surrou
9/27/2014,22:10:00,Hollister,CA,Formation,8 minutes,There were three objects then they became one and flew off.
9/27/2014,22:00:00,Hollister,CA,Triangle,2 minutes,9/27/2014 10:00 PM-ish Eastern Sky Hollister California I saw an upside-down triangle composed of three orange lights. The triangle
3/13/2014,20:30:00,Hollister,CA,Light,10 minutes,"Two blue/purple crafts over downtown Hollister, CA."
1/25/2014,21:45:00,Hollister,CA,Sphere,3 minutes,"Four randum colored lights that change colors with randum movements East of Hollister, CA."
10/7/2014,3:32:00,Hollywood,CA,Light,30 minutes,"Flashing light of white, red, green and blue in sky. Moved slowly but not with the stars. ((NUFORC Note: ""Twinkling"" star? PD))"
9/9/2014,19:30:00,Hollywood ,CA,Light,5 minutes,Changed colors blue pink red green kept changing colors hovered till went to the ground.
3/13/2016,22:58:00,Huntington Beach,CA,Flash,5,Green blue flashes in Huntington Beach.
3/3/2016,23:45:00,Huntington Beach,CA,Circle,10 minutes,Circular Red Glowing/Flashing Objects Hovering Together In The Night Sky Faded Out Slowly.
12/22/2015,18:10:00,Huntington Beach,CA,Fireball,15 seconds,Obj. was observed as a streak of light going horizontal across the sky. ((NUFORC Note: Re-entering space debris. PD))
11/7/2015,23:20:00,Huntington Beach,CA,Light,,It was a very clear calm night. 3 red orange lights floated over north Huntington Beach at approximately 11:30 pm. Moving north to sout
11/7/2015,18:10:00,Huntington Beach,CA,Circle,5 minutes,My oldest started saying he saw a shooting star or a helicopter. ((NUFORC Note: U. S. Navy missile launch. PD))
11/7/2015,18:05:00,Huntington Beach,CA,Light,20 seconds,3 witnesses saw a conical beam of light with a starting point that was round and white.((NUFORC Note: U. S. Navy missile launch. PD))
7/12/2015,22:00:00,Huntington Beach,CA,,1 second,"From my backyard in Huntington Beach, CA, at about 22:00 hours, looking in the direction of about 30 degrees above east-south-east, I o"
3/26/2015,23:00:00,Huntington Beach,CA,Changing,30 minutes,UFO or runaway astroid or religious.
3/9/2015,6:00:00,Huntington Beach,CA,Light,5-10 minutes,Organized unusual bright orange lights separating and reattaching at high altitudes over HB.
10/9/2014,20:30:00,Huntington Beach,CA,Circle,15 minutes,One ufo hovering over Huntington Beach 20:30 (8:30pm) 11/9/2014 in the eastern sky glowing blue.
9/12/2014,6:00:00,Huntington Beach,CA,Light,20 seconds,Slow moving white light. It faded slowly while traveling toward me then left a luminous Area that faded into the sky. The sky was clear
6/17/2014,20:36:00,Huntington Beach,CA,Other,3 seconds,Huge bright green explosion in the sky. It almost looked like a bomb going off and igniting the sky around the area for second.
4/24/2014,21:39:00,Huntington Beach,CA,Fireball,2 minutes,Two fast orbs in Huntington Beach.
2/2/2014,19:00:00,Huntington Beach,CA,Light,5-10 minutes,"UFO sighting with family and people that lived close, SIx red/orange hovering balls of light"
1/9/2014,19:15:00,Huntington Beach,CA,,1 minute,Blue/White orb w/ spot light dances in the sky near street intersection Beach Blvd and Atlanta Ave..
1/3/2014,18:56:00,Huntington Beach,CA,Light,5 minutes,"Single orange orb spotted in Huntington Beach, CA."
10/23/2015,22:40:00,Idyllwild,CA,Fireball,10 seconds,Green fireball in sky observed from idyllwild mountain highway. ((NUFORC Note: Possible Orionid meteor?? PD))
1/2/2016,3:00:00,Imperial Beach,CA,Fireball,20 minutes,Two fireballs side by side.
11/27/2015,22:15:00,Imperial Beach,CA,Fireball,2 minutes,Orange round object moving steadily in one direction with no noise then its brightness dims and it disappears.
9/14/2015,19:00:00,Imperial Beach,CA,Triangle,45 seconds,"I was walking east on Palm Avenue and a triangle shaped object appeared low flying towards me flying west.

It was moving very slow a"
9/10/2014,0:00:00,Imperial Beach,CA,Other,All night,Flashing/bright star.
3/1/2016,19:00:00,Indio,CA,Changing,8 minutes,Giant mass of clustered lights miles long moving through sky
2/14/2016,20:50:00,Indio,CA,Circle,5 seconds,"Saw lighted object fly across sky in about 5 seconds, flying west to east."
1/29/2016,11:20:00,Indio,CA,Diamond,20 seconds,"Unknown black, diamond-shaped craft, slightly smaller than an F-16."
11/7/2015,18:05:00,Indio,CA,Light,4 minutes,Slow moving white light with smoke seen by two people. ((NUFORC Note: U. S. Navy ICBM missile launch. PD))
11/7/2015,18:00:00,Indio,CA,Light,2 minutes,Green ball of light surrounded by a white cloud that kept expanding. ((NUFORC Note: US Navy missile launch. PD))
11/7/2015,17:55:00,Indio,CA,Cylinder,30 minutes,"Indio, CA, object explodes above my house. ((NUFORC Note: US Navy missile launch. PD))"
1/16/2015,17:55:00,Indio,CA,Diamond,4 minutes,A massive transparent diamond shaped object.
8/2/2014,18:00:00,Indio,CA,Fireball,7-12 minutes,5 round fire like balls in flight pattern over Coachella Valley.
4/21/2014,1:00:00,Indio,CA,Fireball,15 minutes,Orange ball of light.
7/25/2015,22:30:00,Irvine,CA,Triangle,5 minutes,Hovering craft with red and green blinking lights. Hovers for a minute and then moved to a new spot.
12/24/2014,20:50:00,Irvine,CA,Fireball,10 minutes,"About 8 fireballs over Irvine, CA."
11/7/2014,21:30:00,Irvine,CA,Sphere,10 seconds,"Large round red ball, approx 200 ft. diameter. Observed descending slowly behind a nearby hill, 7/8 obscured by hill when seen. Then di"
1/25/2014,20:45:00,Irvine,CA,Triangle,35-40 seconds,Large Triangular translucent craft flew over the house while star gazing the width of 2 full moons. I was 100% silent with no lights.
11/7/2015,18:00:00,Isla Vista,CA,Circle,15 minutes,White light with blue following blue light. ((NUFORC Note: US Navy missile launch. PD))
2/7/2014,5:18:00,Isla Vista,CA,Light,ongoing,"BRIGHT BALL OF LIGHT AND RADIATING GREEN TRIANGLES. ((NUFORC Note: Possibly the star ""Sirius?"" PD))"
2/15/2015,16:00:00,Jackson,CA,Light,15-25 minutes,"Reddish ""star"" chases plane then slows and disappears out of view."
7/21/2014,23:13:00,Jamul,CA,Fireball,3 minutes,"Fireball shot through skin then disappeared, triangular object with lights flashingshot and then disappeared."
4/22/2015,20:00:00,Kelseyville,CA,Circle,0.15,"Large commercial aircraft seen making giant turn before the craft.

The aircraft made a second turn leaving com trails again before C"
4/22/2015,19:00:00,Kelseyville,CA,Light,15 minutes,Lake County.
3/23/2014,20:10:00,Kerman,CA,Formation,12-14 minutes,"5 red lights near Fresno, CA."
5/25/2014,7:00:00,Kings Beach,CA,Circle,ongoing,Orb over Tahoe.
2/10/2016,3:45:00,Kingsburg,CA,Light,2 minutes,Bright red light southwest sky remained still then suddenly vanished.
1/11/2016,18:18:00,Kingsburg,CA,Triangle,2 minutes,"Triangle objects near Kingsburg, CA."
11/7/2015,18:10:00,Knights Landing,CA,Sphere,2-4 minutes,Knights landing UFO Sighting: Green lights small sphere
12/27/2014,11:00:00,La Canada,CA,Sphere,5 minutes,Large sphere appears in photographs of flying Hawk near Jet Propulsion Laboratory.
6/7/2015,21:30:00,La Canada Flintridge,CA,Light,ON GOING,"UNKNOWN WEIRD LIGHTS OVER LA CANADA, CA, NEAR JPL NASA."
11/5/2015,19:00:00,La Crescenta,CA,Circle,3 second,Green ball of light traveling at high speed.
4/5/2014,14:40:00,La Crescenta,CA,Cylinder,4 minutes,A small vertical cylinder hovered me for over 4 minutes.
10/23/2014,23:30:00,La Habra,CA,Circle,5 minutes,I saw 2 Green Orbs flying over La Habra California.
5/14/2014,5:30:00,La Habra,CA,Circle,5 minutes,"My cousin took the dogs outside to do their business and noticed a white circular orb/craft above, but at low altitude. He recorded the"
11/7/2015,18:15:00,La Jolla,CA,Light,20 minutes,Perfectly shaped large sphere of light with blue center was slowly moving N. ((NUFORC Note: U. S. Navy missile launch. PD))
11/7/2015,18:15:00,La Jolla,CA,Changing,4 minutes,Thought it was a plane releasing chem trail. ((NUFORC Note: U. S. Navy missile launch. PD))
11/7/2015,18:00:00,La Jolla,CA,Fireball,7 minutes,Fast moving bright ball of light leaving behind a green fluorescent cloud. ((NUFORC Note: US Navy missile launch. PD))
11/7/2015,17:55:00,La Jolla,CA,Light,5 minutes,I looked up and saw a vapor trail from a bright moving light. Then suddenly the light turned east. ((NUFORC Note: Rocket. PD))
4/16/2015,2:30:00,La Jolla,CA,Circle,7 minute,"Stationary flickering orange glow, could have been a drone on fire."
9/11/2014,21:12:00,La Mesa,CA,Flash,1 second,Fast moving object blue white light nighttime only visible for a second.
4/23/2014,0:57:00,La Mesa,CA,Circle,10-15 seconds,Me and my son saw this huge white light come out of the sky to ground or pacific ocean very strange this was no metor!
3/21/2014,20:00:00,La Mesa,CA,Circle,4 seconds,Missing man V-formation.
